sigma,t,phi_s
0.43216080402010054,14.170854271356784,-2.7668520182526
0.43316582914572865,14.170854271356784,-2.7788537526825188
0.4341708542713568,14.170854271356784,-2.7909512671631074
0.43517587939698493,14.170854271356784,-2.803144911665361
0.4361809045226131,14.170854271356784,-2.8154349545674315
0.4371859296482412,14.170854271356784,-2.827821573978054
0.4381909547738694,14.170854271356784,-2.8403048483219173
0.4391959798994975,14.170854271356784,-2.8528847461302376
0.44020100502512566,14.170854271356784,-2.86556111497635
0.44120603015075377,14.170854271356784,-2.8783336694925725
0.44221105527638194,14.170854271356784,-2.8912019784011616
0.44321608040201005,14.170854271356784,-2.9041654504886907
0.4442211055276382,14.170854271356784,-2.9172233194499992
0.4452261306532663,14.170854271356784,-2.930374627524756
0.4462311557788945,14.170854271356784,-2.9436182078471056
0.4472361809045226,14.170854271356784,-2.956952665426618
0.4482412060301508,14.170854271356784,-2.9703763566773294
0.4492462311557789,14.170854271356784,-2.98388736741095
0.45025125628140705,14.170854271356784,-2.9974834892108118
0.4512562814070352,14.170854271356784,-3.0111621941048887
0.45226130653266333,14.170854271356784,-3.024920607459766
0.45326633165829144,14.170854271356784,-3.038755479022965
0.4542713567839196,14.170854271356784,-3.052663152049117
0.4552763819095478,14.170854271356784,-3.0666395304565226
0.4562814070351759,14.170854271356784,-3.0806800439752626
0.45728643216080406,14.170854271356784,-3.0947796112668327
0.45829145728643217,14.170854271356784,-3.1089326010189575
0.45929648241206034,14.170854271356784,-3.1231327910486555
0.46030150753768845,14.170854271356784,-3.137373325482459
